12.118,15.874,9.3104,13.949,24.247,4.4713,8.5203,14.995,13.923,10.832,10.651,5.905,9.9446,17.835,22.126,22.017
12.063,15.737,9.2643,13.867,24.088,4.4673,8.4909,14.892,13.843,10.773,10.613,5.8965,9.9089,17.743,22.004,21.891
12.009,15.601,9.2186,13.786,23.931,4.4633,8.462,14.79,13.764,10.715,10.575,5.8881,9.8735,17.65,21.882,21.766
11.955,15.467,9.1732,13.705,23.774,4.4594,8.4335,14.689,13.686,10.658,10.537,5.8797,9.8384,17.559,21.762,21.641
11.902,15.333,9.1283,13.625,23.619,4.4555,8.4054,14.589,13.608,10.601,10.5,5.8715,9.8036,17.468,21.642,21.517
11.849,15.2,9.0837,13.546,23.465,4.4517,8.3778,14.49,13.531,10.544,10.463,5.8633,9.769,17.377,21.523,21.394
11.796,15.068,9.0396,13.466,23.311,4.448,8.3505,14.391,13.454,10.488,10.426,5.8552,9.7347,17.287,21.404,21.272
11.744,14.937,8.9958,13.388,23.159,4.4444,8.3238,14.293,13.378,10.432,10.389,5.8471,9.7006,17.197,21.286,21.15
11.692,14.808,8.9525,13.31,23.008,4.4408,8.2974,14.195,13.302,10.377,10.353,5.8392,9.6669,17.108,21.169,21.029
11.641,14.679,8.9095,13.232,22.858,4.4373,8.2715,14.099,13.227,10.322,10.317,5.8313,9.6333,17.02,21.053,20.909
11.59,14.551,8.867,13.155,22.709,4.4339,8.246,14.003,13.153,10.267,10.281,5.8235,9.6001,16.931,20.937,20.789
11.54,14.425,8.8248,13.078,22.561,4.4305,8.2209,13.908,13.079,10.213,10.246,5.8157,9.5671,16.844,20.822,20.67
11.49,14.299,8.783,13.002,22.415,4.4272,8.1963,13.814,13.006,10.159,10.21,5.8081,9.5344,16.757,20.708,20.552
11.44,14.174,8.7417,12.926,22.269,4.4239,8.1721,13.72,12.933,10.106,10.175,5.8005,9.502,16.67,20.595,20.434
11.391,14.051,8.7007,12.851,22.124,4.4207,8.1483,13.627,12.861,10.053,10.14,5.793,9.4698,16.584,20.482,20.318
11.342,13.928,8.6601,12.776,21.981,4.4176,8.125,13.535,12.789,10,10.106,5.7856,9.4379,16.498,20.37,20.201
11.294,13.806,8.6199,12.702,21.838,4.4146,8.1021,13.444,12.718,9.9483,10.072,5.7782,9.4063,16.413,20.259,20.086
